name,path
Mylab Groups,"DC=mylab, DC=local"
Mylab Users,"DC=mylab, DC=local"
Marketing,"OU=mylab Users,DC=mylab, DC=local"
HR,"OU=mylab Users,DC=mylab, DC=local"
IT,"OU=mylab Users,DC=mylab, DC=local"
Accounting,"OU=mylab Users,DC=mylab, DC=local"
Management,"OU=mylab Users,DC=mylab, DC=local"
PR,"OU=mylab Users,DC=mylab, DC=local"
Operations,"OU=mylab Users,DC=mylab, DC=local"
Legal,"OU=mylab Users,DC=mylab, DC=local"
Purchasing,"OU=mylab Users,DC=mylab, DC=local"
Mylab Computers,"DC=mylab, DC=local"
Marketing,"OU=mylab Computers,DC=mylab, DC=local"
HR,"OU=mylab Computers,DC=mylab, DC=local"
IT,"OU=mylab Computers,DC=mylab, DC=local"
Accounting,"OU=mylab Computers,DC=mylab, DC=local"
Management,"OU=mylab Computers,DC=mylab, DC=local"
PR,"OU=mylab Computers,DC=mylab, DC=local"
Operations,"OU=mylab Computers,DC=mylab, DC=local"
Legal,"OU=mylab Computers,DC=mylab, DC=local"
Purchasing,"OU=mylab Computers,DC=mylab, DC=local"
